service,month,year,calls_handled,average_wait,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Driver and Vehicle Services queues (English + French),Jun,2017,"75,819",1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Jul,2017,"73,144",1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Aug,2017,"82,160",1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Sep,2017,"70,994",0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Oct,2017,"73,033",0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Nov,2017,"66,115",0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Dec,2017,"53,979",0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Jan,2018,"71,682",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Feb,2018,"57,638",0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Mar,2018,"66,280",1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Apr,2018,"56,167",2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),May,2018,"75,368",1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Jun,2018,"70,826",0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Jul,2018,"73,149",1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Aug,2018,"79,144",2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Sep,2018,"70,100",7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Oct,2018,"72,516",4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Nov,2018,"63,654",1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Dec,2018,"53,070",1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driver and Vehicle Services queues (English + French),Jan,2019,"73,814",2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
